occurredAt,traceId,generationId,requestId,eventType,durationMs
"2026-09-05T13:29:44.256Z","b0b8a6026a0751a42ad08572","a56588dd5b80bf7b314f1e55","","prompt_ready",785
"2026-09-05T13:30:21.646Z","b0b8a6026a0751a42ad08572","a56588dd5b80bf7b314f1e55","","provider_usage",""
"2026-09-05T13:31:05.152Z","84c239ddcdfc6f949047be57","2663022077d4f331527a25b4","","prompt_ready",281
"2026-09-05T13:31:24.029Z","84c239ddcdfc6f949047be57","2663022077d4f331527a25b4","","provider_usage",""
"2026-09-05T13:31:30.096Z","73cddca247100034d234a9c9","b9607442064458454965c30f","","prompt_ready",402
"2026-09-05T13:31:34.749Z","73cddca247100034d234a9c9","b9607442064458454965c30f","","provider_usage",""
"2026-09-05T13:31:45.311Z","a86c9cf27580e5c12e5ef336","89e6cd5c5f105c5258256464","","prompt_ready",285
"2026-09-05T13:32:04.773Z","a86c9cf27580e5c12e5ef336","89e6cd5c5f105c5258256464","","provider_usage",""
"2026-09-05T13:32:15.024Z","3d9155bd3c28db54fe734985","54e9379b23b02ddb938a8bbd","","prompt_ready",849
"2026-09-05T13:32:28.305Z","3d9155bd3c28db54fe734985","54e9379b23b02ddb938a8bbd","","provider_usage",""
"2026-09-05T13:32:42.323Z","556623a59bd34c766aaaf917","097a612b3d3a0760a0cdaf54","","prompt_ready",404
"2026-09-05T13:32:54.089Z","556623a59bd34c766aaaf917","097a612b3d3a0760a0cdaf54","","provider_usage",""
"2026-09-05T13:33:03.361Z","f3a81359e4b951aca775ace6","902b76c5a8e18126c427ce7f","","prompt_ready",703
"2026-09-05T13:33:47.124Z","f3a81359e4b951aca775ace6","902b76c5a8e18126c427ce7f","","provider_usage",""
"2026-09-05T13:33:59.443Z","7565d97d8395f6997c49017c","2efc8240b126e4a53b7a2376","","prompt_ready",431
"2026-09-05T13:34:15.023Z","7565d97d8395f6997c49017c","2efc8240b126e4a53b7a2376","","provider_usage",""
"2026-09-05T13:34:31.104Z","a04206d4d4ee3e9d3233f892","8cdbc4f739dc7d8445cc5e1b","","prompt_ready",524
"2026-09-05T13:34:38.051Z","a04206d4d4ee3e9d3233f892","8cdbc4f739dc7d8445cc5e1b","","provider_usage",""
"2026-09-05T13:34:53.415Z","9c118553ca4e1af5897da6b3","b22ab25e29c977e94d2d2698","","prompt_ready",538
"2026-09-05T13:35:05.839Z","9c118553ca4e1af5897da6b3","b22ab25e29c977e94d2d2698","","provider_usage",""
"2026-09-05T13:35:20.298Z","034605ef91c7d38dd5b323bb","73b55a707e62785b893e7a69","","prompt_ready",443
"2026-09-05T13:35:22.789Z","034605ef91c7d38dd5b323bb","73b55a707e62785b893e7a69","","provider_usage",""
"2026-09-05T13:37:24.509Z","8f6fe54e585215de7863c150","76c37cb731ce63c4e41e977d","","prompt_ready",606
"2026-09-05T13:37:28.933Z","8f6fe54e585215de7863c150","76c37cb731ce63c4e41e977d","","provider_usage",""
"2026-09-05T13:37:43.815Z","25ab77403a1b1a78bb53c178","b060be02d5703ea2cf581503","","prompt_ready",404
"2026-09-05T13:37:46.560Z","25ab77403a1b1a78bb53c178","b060be02d5703ea2cf581503","","provider_usage",""
"2026-09-05T13:38:26.402Z","dbce1d87da3f0706046f0884","3bff7dd76d37326569cc2376","","prompt_ready",599
"2026-09-05T13:38:36.036Z","dbce1d87da3f0706046f0884","3bff7dd76d37326569cc2376","","provider_usage",""
"2026-09-05T13:39:54.007Z","d4e09d6715c9da3895b279cc","bd8c5ac437161a29c6d97e97","","prompt_ready",509
"2026-09-05T13:40:04.899Z","d4e09d6715c9da3895b279cc","bd8c5ac437161a29c6d97e97","","provider_usage",""
"2026-09-05T13:40:37.761Z","6e8be991df130c01988e2f0c","00c06d6f4277375d0d2bc230","","prompt_ready",616
"2026-09-05T13:40:41.956Z","6e8be991df130c01988e2f0c","00c06d6f4277375d0d2bc230","","provider_usage",""
"2026-09-05T13:41:02.123Z","3774b13d14f018cc62a5911e","4e6f41a85ea93a7c362bb56a","","prompt_ready",460
"2026-09-05T13:41:10.220Z","3774b13d14f018cc62a5911e","4e6f41a85ea93a7c362bb56a","","provider_usage",""
"2026-09-05T13:41:24.320Z","6df3a39df2343e50ba15f6d1","668732252ab4a04d1c6ad351","","prompt_ready",545
"2026-09-05T13:41:53.042Z","6df3a39df2343e50ba15f6d1","668732252ab4a04d1c6ad351","","provider_usage",""
"2026-09-05T13:42:19.093Z","4b662f70ae7293ccbc6de846","e507fccb3c6eb01f4cd17270","","prompt_ready",577
"2026-09-05T13:43:01.082Z","4b662f70ae7293ccbc6de846","e507fccb3c6eb01f4cd17270","","prompt_ready",828
"2026-09-05T13:43:09.649Z","4b662f70ae7293ccbc6de846","e507fccb3c6eb01f4cd17270","","provider_usage",""
"2026-09-05T13:47:21.119Z","727078c4d7192d139155f319","68074b0c0df19a700b40b586","","prompt_ready",612
"2026-09-05T13:47:25.222Z","727078c4d7192d139155f319","68074b0c0df19a700b40b586","","provider_usage",""
"2026-09-05T13:48:13.880Z","771777474caeb3d12b3e4e85","5f0277047bf58632fdbeadae","","prompt_ready",512
"2026-09-05T13:48:25.167Z","771777474caeb3d12b3e4e85","5f0277047bf58632fdbeadae","","provider_usage",""
"2026-09-05T13:48:41.867Z","6d3a5a58f078d20f02f6da4c","a78c53e036a36dd3e7787d9c","","prompt_ready",424
"2026-09-05T13:48:57.177Z","6d3a5a58f078d20f02f6da4c","a78c53e036a36dd3e7787d9c","","prompt_ready",750
"2026-09-05T13:49:03.948Z","a72743c32cf3b1674c34b847","ae093ee70ca8ad2a43608126","","prompt_ready",293
"2026-09-05T13:49:10.548Z","a72743c32cf3b1674c34b847","ae093ee70ca8ad2a43608126","","provider_usage",""
"2026-09-05T13:49:22.028Z","22d401a91636b89a1d58d071","7c8933ca4d43b4b8c9510edf","","prompt_ready",380
"2026-09-05T13:49:31.836Z","22d401a91636b89a1d58d071","7c8933ca4d43b4b8c9510edf","","provider_usage",""
"2026-09-05T13:50:02.538Z","e28330eb5d219248323074d5","5c750e5f21dddc70dd4a8f1d","","prompt_ready",560
"2026-09-05T13:50:07.878Z","e28330eb5d219248323074d5","5c750e5f21dddc70dd4a8f1d","","provider_usage",""
"2026-09-05T13:50:40.998Z","fe970beee8d198ffc6f90a81","12d6c946d9ae4cfa0f0fd2f5","","prompt_ready",520
"2026-09-05T13:50:44.202Z","fe970beee8d198ffc6f90a81","12d6c946d9ae4cfa0f0fd2f5","","provider_usage",""
"2026-09-05T13:51:20.392Z","9dc1ee68fb770402372ab53e","a9c88f0c57c3344b2d37b35a","","prompt_ready",592
"2026-09-05T13:51:37.593Z","9dc1ee68fb770402372ab53e","a9c88f0c57c3344b2d37b35a","","provider_usage",""
"2026-09-05T13:52:27.300Z","b165cd44e12c98d3fdfaa2c5","3e603cf63a08e200d146aef1","","prompt_ready",577
"2026-09-05T13:52:35.031Z","b165cd44e12c98d3fdfaa2c5","3e603cf63a08e200d146aef1","","provider_usage",""
"2026-09-05T13:53:07.687Z","faf3f6d54c593d49a57ce2a9","cd21bbb324373015c61e85a7","","prompt_ready",544
"2026-09-05T13:53:27.554Z","faf3f6d54c593d49a57ce2a9","cd21bbb324373015c61e85a7","","provider_usage",""
