occurredAt,traceId,generationId,requestId,eventType,durationMs
"2026-09-05T13:29:43.472Z","b0b8a6026a0751a42ad08572","a56588dd5b80bf7b314f1e55","","generation_start",""
"2026-09-05T13:29:45.519Z","b0b8a6026a0751a42ad08572","a56588dd5b80bf7b314f1e55","","first_reasoning_delta",""
"2026-09-05T13:30:18.684Z","b0b8a6026a0751a42ad08572","a56588dd5b80bf7b314f1e55","","first_answer_delta",""
"2026-09-05T13:30:21.694Z","b0b8a6026a0751a42ad08572","a56588dd5b80bf7b314f1e55","","generation_completed",38223
"2026-09-05T13:31:04.870Z","84c239ddcdfc6f949047be57","2663022077d4f331527a25b4","","generation_start",""
"2026-09-05T13:31:05.878Z","84c239ddcdfc6f949047be57","2663022077d4f331527a25b4","","first_reasoning_delta",""
"2026-09-05T13:31:21.346Z","84c239ddcdfc6f949047be57","2663022077d4f331527a25b4","","first_answer_delta",""
"2026-09-05T13:31:24.084Z","84c239ddcdfc6f949047be57","2663022077d4f331527a25b4","","generation_completed",19213
"2026-09-05T13:31:29.695Z","73cddca247100034d234a9c9","b9607442064458454965c30f","","generation_start",""
"2026-09-05T13:31:32.078Z","73cddca247100034d234a9c9","b9607442064458454965c30f","","first_reasoning_delta",""
"2026-09-05T13:31:34.491Z","73cddca247100034d234a9c9","b9607442064458454965c30f","","first_answer_delta",""
"2026-09-05T13:31:34.808Z","73cddca247100034d234a9c9","b9607442064458454965c30f","","generation_completed",5114
"2026-09-05T13:31:45.025Z","a86c9cf27580e5c12e5ef336","89e6cd5c5f105c5258256464","","generation_start",""
"2026-09-05T13:31:46.629Z","a86c9cf27580e5c12e5ef336","89e6cd5c5f105c5258256464","","first_reasoning_delta",""
"2026-09-05T13:31:57.260Z","a86c9cf27580e5c12e5ef336","89e6cd5c5f105c5258256464","","first_answer_delta",""
"2026-09-05T13:32:04.853Z","a86c9cf27580e5c12e5ef336","89e6cd5c5f105c5258256464","","generation_completed",19828
"2026-09-05T13:32:14.175Z","3d9155bd3c28db54fe734985","54e9379b23b02ddb938a8bbd","","generation_start",""
"2026-09-05T13:32:16.810Z","3d9155bd3c28db54fe734985","54e9379b23b02ddb938a8bbd","","first_reasoning_delta",""
"2026-09-05T13:32:24.363Z","3d9155bd3c28db54fe734985","54e9379b23b02ddb938a8bbd","","first_answer_delta",""
"2026-09-05T13:32:28.392Z","3d9155bd3c28db54fe734985","54e9379b23b02ddb938a8bbd","","generation_completed",14216
"2026-09-05T13:32:41.918Z","556623a59bd34c766aaaf917","097a612b3d3a0760a0cdaf54","","generation_start",""
"2026-09-05T13:32:42.828Z","556623a59bd34c766aaaf917","097a612b3d3a0760a0cdaf54","","first_reasoning_delta",""
"2026-09-05T13:32:52.967Z","556623a59bd34c766aaaf917","097a612b3d3a0760a0cdaf54","","first_answer_delta",""
"2026-09-05T13:32:54.205Z","556623a59bd34c766aaaf917","097a612b3d3a0760a0cdaf54","","generation_completed",12287
"2026-09-05T13:33:02.657Z","f3a81359e4b951aca775ace6","902b76c5a8e18126c427ce7f","","generation_start",""
"2026-09-05T13:33:04.060Z","f3a81359e4b951aca775ace6","902b76c5a8e18126c427ce7f","","first_reasoning_delta",""
"2026-09-05T13:33:47.389Z","f3a81359e4b951aca775ace6","902b76c5a8e18126c427ce7f","","generation_empty",44732
"2026-09-05T13:33:59.011Z","7565d97d8395f6997c49017c","2efc8240b126e4a53b7a2376","","generation_start",""
"2026-09-05T13:34:00.314Z","7565d97d8395f6997c49017c","2efc8240b126e4a53b7a2376","","first_reasoning_delta",""
